is_shorts,duration_seconds,channel_subscriber_count,channel_view_count,channel_video_count,channel_age_days,video_category_id,video_trending_country,channel_country_int,video_licensed_content,publish_hour,publish_day_of_week,title_length,tag_count,reach_level
0,827.0,47400.0,40462976.0,3229.0,5267,6,1,45,1,12,6,54,1,1
0,767.0,217000.0,185925499.0,901.0,3729,6,1,45,1,9,2,11,0,1
0,808.0,72900.0,29842597.0,786.0,1646,6,0,18,1,9,1,79,0,1
0,1507.0,4540.0,855901.0,41.0,3798,6,1,54,0,4,6,75,0,1
0,533.0,14600000.0,12128436251.0,1145.0,1853,6,0,53,1,11,3,29,1,1
0,615.0,1030000.0,1197426938.0,5584.0,7076,4,0,18,1,7,6,66,1,1
0,819.0,295000.0,44978963.0,314.0,3585,6,0,45,1,9,1,47,1,1
0,167.0,58000.0,25589832.0,1255.0,1466,10,1,53,1,0,3,99,1,1
0,1372.0,1100000.0,469592461.0,799.0,3383,14,1,45,1,4,0,30,1,1
0,592.0,1580000.0,810081806.0,37394.0,3307,13,0,54,1,18,4,62,1,1
0,2267.0,11000.0,2450463.0,55.0,649,10,1,54,0,8,4,48,0,1
0,1352.0,59300.0,6769980.0,304.0,1220,6,1,54,0,10,0,11,1,1
0,1665.0,82100.0,112979167.0,1473.0,4126,6,1,45,1,4,2,87,1,1
0,17119.0,281000.0,163659716.0,4603.0,2242,6,1,45,1,14,5,55,1,2
0,752.0,1290000.0,331541736.0,851.0,4116,5,1,45,1,4,2,44,1,1
0,126.0,23700.0,28083889.0,369.0,334,10,1,18,1,1,4,31,1,1
0,216.0,235000.0,212626085.0,95.0,5369,8,0,18,1,4,0,44,1,2
0,1002.0,792000.0,1217088666.0,1093.0,2016,6,1,45,1,7,0,22,1,1
0,411.0,638000.0,362409287.0,14528.0,5397,6,1,45,1,11,2,35,0,1
0,1677.0,127000.0,74787920.0,2162.0,3637,6,1,45,1,8,6,53,1,1
0,465.0,40500.0,7832836.0,249.0,1497,6,1,18,1,15,5,32,0,1
