video_category_id,video_trending_country,publish_hour,publish_day_of_week,title_length,tag_count,channel_subscriber_count,video_definition,video_licensed_content,channel_have_hidden_subscribers,is_shorts,reach_level
13,1,13,3,64,0,311000.0,1,1,0,0,1
6,1,10,0,40,1,169000.0,1,1,0,0,1
6,1,9,2,58,1,3270000.0,1,1,0,0,1
3,0,4,2,70,1,2090000.0,1,1,0,1,3
6,0,10,6,44,1,55200.0,1,1,0,0,1
6,1,13,3,55,1,3520000.0,1,0,0,0,2
6,0,20,1,60,0,53500.0,1,1,0,0,1
6,0,11,6,63,1,114000.0,1,1,0,0,1
5,1,10,0,88,1,83700.0,1,1,0,0,1
6,0,14,6,28,1,577000.0,1,1,0,0,2
6,1,15,4,14,1,633000.0,1,1,0,0,1
6,1,12,2,26,0,474000.0,1,1,0,0,1
6,0,12,3,32,1,239000.0,1,1,0,1,2
6,1,9,5,67,1,21200.0,1,1,0,0,1
6,1,9,3,79,1,94400.0,1,1,0,0,1
8,1,10,1,4,1,5830.0,1,1,0,0,1
8,1,7,3,22,1,60000.0,1,1,0,0,1
6,1,10,2,89,1,63800.0,1,1,0,0,1
6,1,16,1,61,1,1180000.0,1,1,0,0,1
6,1,10,6,61,0,208000.0,1,1,0,0,1
6,0,16,6,53,1,2450000.0,1,1,0,0,2
13,0,21,5,84,1,1450000.0,1,1,0,0,3
6,1,9,2,40,1,22000.0,1,1,0,0,1
6,1,14,5,58,1,69700.0,1,1,0,0,1
6,1,9,2,39,1,3260000.0,1,1,0,0,1
6,1,6,6,51,1,667000.0,1,1,0,0,1
10,0,11,6,34,1,10000.0,1,1,0,0,2
10,1,6,1,37,1,20600.0,1,1,0,0,1
13,1,8,2,54,0,61900.0,1,1,0,1,1
6,1,5,4,63,0,259000.0,1,1,0,0,1
2,1,13,4,35,1,83500.0,1,1,0,0,1
8,0,14,6,54,0,69400.0,1,1,0,0,1
4,0,14,2,55,0,6420000.0,1,1,0,0,3
6,0,4,3,35,1,60000.0,1,1,0,0,1
6,0,17,1,60,1,110000.0,1,1,0,0,1
6,1,3,6,43,1,183000.0,1,1,0,0,1
6,0,10,4,51,1,49300.0,1,1,0,0,1
8,0,10,1,14,1,144.0,1,1,0,0,1
13,0,15,5,55,1,13900000.0,1,1,0,0,2
6,1,16,0,31,1,93100.0,1,1,0,0,1
9,1,6,4,23,0,1130000.0,1,0,0,1,1
6,1,4,5,71,0,54000.0,1,1,0,0,1
6,0,14,1,47,1,2440000.0,1,1,0,0,1
10,1,8,3,54,1,20000.0,1,1,0,1,1
10,1,23,5,42,0,10700.0,1,1,0,0,1
6,0,18,1,80,1,488000.0,1,1,0,0,1
9,1,7,4,35,1,522000.0,1,1,0,1,2
6,0,10,4,54,1,15900.0,1,1,0,0,1
6,1,7,6,60,0,111000.0,1,1,0,0,1
6,1,12,6,54,1,47400.0,1,1,0,0,1
6,1,9,2,11,0,217000.0,1,1,0,0,1
6,0,9,1,79,0,72900.0,1,1,0,0,1
6,1,4,6,75,0,4540.0,1,0,0,0,1
6,0,11,3,29,1,14600000.0,1,1,0,0,1
4,0,7,6,66,1,1030000.0,1,1,0,0,1
6,0,9,1,47,1,295000.0,1,1,0,0,1
10,1,0,3,99,1,58000.0,1,1,0,0,1
14,1,4,0,30,1,1100000.0,1,1,0,0,1
13,0,18,4,62,1,1580000.0,1,1,0,0,1
10,1,8,4,48,0,11000.0,1,0,0,0,1
6,1,10,0,11,1,59300.0,1,0,0,0,1
6,1,4,2,87,1,82100.0,1,1,0,0,1
6,1,14,5,55,1,281000.0,1,1,0,0,2
5,1,4,2,44,1,1290000.0,1,1,0,0,1
10,1,1,4,31,1,23700.0,1,1,0,0,1
8,0,4,0,44,1,235000.0,1,1,0,0,2
6,1,7,0,22,1,792000.0,1,1,0,0,1
6,1,11,2,35,0,638000.0,1,1,0,0,1
6,1,8,6,53,1,127000.0,1,1,0,0,1
6,1,15,5,32,0,40500.0,1,1,0,0,1
6,0,8,0,42,0,580000.0,1,1,0,0,1
7,1,9,5,44,1,110000.0,1,1,0,0,1
6,1,8,5,43,0,33400.0,1,1,0,0,1
10,1,10,1,27,0,588000.0,1,1,0,1,1
6,0,17,6,3,1,8230.0,1,1,0,0,1
6,1,4,6,27,0,58900.0,1,1,0,0,1
